w	Stern_exp	Stern_pred
358	8.009656292609509e-05	7.966583256307576e-05
359	5.774403373741739e-05	6.0023550866884996e-05
360	4.3988631159769576e-05	4.493681624983942e-05
361	3.324222289598222e-05	3.3407345247064594e-05
362	2.6507807050675477e-05	2.467588001203635e-05
363	1.604796967392245e-05	1.810970567265118e-05
364	1.2895689916544825e-05	1.3202650331226286e-05
365	1.1606120924890344e-05	9.561024734008385e-06
366	6.447844958272413e-06	6.878313676289562e-06
367	5.0149905231007655e-06	4.915491539719606e-06
368	5.301561410135096e-06	3.488367994863942e-06
369	3.7254215314462832e-06	2.4605578359580407e-06
370	1.8627107657231416e-06	1.7237965182197472e-06
371	1.146283548137318e-06	1.199205587593493e-06
372	7.164272175858236e-07	8.288564824555799e-07
373	7.164272175858236e-07	5.691621782833228e-07
374	7.164272175858236e-07	3.882057248617229e-07
375	5.73141774068659e-07	2.6292818018523065e-07
376	7.164272175858236e-07	1.7687895757915513e-07
377	4.298563305514942e-07	1.182755000918802e-07
378	1.4328544351716475e-07	7.852694579328946e-08
379	0.0	5.1784197199048364e-08
380	0.0	3.391351714474739e-08
381	1.4328544351716475e-07	2.207471887116642e-08
382	0.0	1.4257175118065447e-08
383	0.0	9.153275149763911e-09
384	0.0	5.835037153843353e-09
385	0.0	3.6950548530844174e-09
386	0.0	2.324172630193509e-09
387	0.0	1.4510261066906844e-09
388	0.0	9.004235646557309e-10
389	0.0	5.548206411823101e-10
390	0.0	3.395569813622096e-10
391	0.0	2.0626504830573974e-10
392	0.0	1.2453234716045923e-10
393	0.0	7.464629457772135e-11
394	0.0	4.44447046826478e-11
395	0.0	2.627875768803187e-11
396	0.0	1.5424182548834117e-11
397	0.0	8.994393415213478e-12
398	0.0	5.207946413936332e-12
399	0.0	2.994850394623215e-12
400	0.0	1.7097361877285585e-12
401	0.0	9.697409939772917e-13
402	0.0	5.461032362777731e-13
403	0.0	3.053903782686208e-13
404	0.0	1.6956758572373697e-13
405	0.0	9.345901677493197e-14
406	0.0	5.116554265743606e-14
407	0.0	2.7811333711571453e-14
408	0.0	1.501643296458964e-14
409	0.0	8.046727140107352e-15
410	0.0	4.28137063456699e-15
411	0.0	2.2623071760322785e-15
412	0.0	1.1868324967612467e-15
413	0.0	6.180921283926598e-16
414	0.0	3.195913120647215e-16
415	0.0	1.6408405683217334e-16
416	0.0	8.365896642257338e-17
417	0.0	4.2335655108969487e-17
418	0.0	2.127328003316866e-17
419	0.0	1.0607113322552833e-17
420	0.0	5.251533438459018e-18
421	0.0	2.581476678182264e-18
422	0.0	1.2596650087056048e-18
423	0.0	6.1021834331759395e-19
424	0.0	2.934390973511103e-19
425	0.0	1.4002683136174928e-19
426	0.0	6.633663925742877e-20
427	0.0	3.1199873359947954e-20
428	0.0	1.4566502388871598e-20
429	0.0	6.747552602721507e-21
430	0.0	3.1031149394053688e-21
431	0.0	1.4158752804627125e-21
432	0.0	6.41713483617857e-22
433	0.0	2.885179816791942e-22
434	0.0	1.2873638597732467e-22
435	0.0	5.701464014177059e-23
436	0.0	2.5055508935298446e-23
437	0.0	1.0929094890801055e-23
438	0.0	4.731301210285033e-24
439	0.0	2.031717755976782e-24
440	0.0	8.661163582572302e-25
441	0.0	3.662716092954683e-25
442	0.0	1.538200155736055e-25
443	0.0	6.403074505687381e-26
444	0.0	2.6461541984417325e-26
445	0.0	1.0847544973952162e-26
446	0.0	4.413537741184165e-27
447	0.0	1.7814438732336215e-27
448	0.0	7.131399625130961e-28
449	0.0	2.8331565939745437e-28
450	0.0	1.1166714476102147e-28
451	0.0	4.3657326175141226e-29
452	0.0	1.6928637911391316e-29
453	0.0	6.515557149616891e-30
454	0.0	2.487272463891299e-30
455	0.0	9.414797296900022e-31
456	0.0	3.536173118533984e-31
457	0.0	1.3170311571096552e-31
458	0.0	4.866280383000445e-32
459	0.0	1.7828499062827402e-32
460	0.0	6.4790002903398e-33
461	0.0	2.33542089458646e-33
462	0.0	8.347618212618792e-34
463	0.0	2.958293535346124e-34
464	0.0	1.0400426464332357e-34
465	0.0	3.624753200628474e-35
466	0.0	1.252916050069834e-35
467	0.0	4.2940249320090605e-36
468	0.0	1.4594623049853975e-36
469	0.0	4.916897572768725e-37
470	0.0	1.6422466013708523e-37
471	0.0	5.438535833991829e-38
472	0.0	1.785661972380978e-38
473	0.0	5.811134592008332e-39
474	0.0	1.8742420544754673e-39
475	0.0	5.995324921442905e-40
476	0.0	1.900956682408726e-40
477	0.0	5.972828392657004e-41
478	0.0	1.8601817239842788e-41
479	0.0	5.740832939552388e-42
480	0.0	1.7561352783494815e-42
481	0.0	5.323241123964081e-43
482	0.0	1.598659576848167e-43
483	0.0	4.760827904316528e-44
484	0.0	1.4040646028501137e-44
485	0.0	4.104210470378011e-45
486	0.0	1.1882385298103657e-45
487	0.0	3.4096301441132845e-46
488	0.0	9.688973741478204e-47
489	0.0	2.7277041152906275e-47
490	0.0	7.609450861831378e-48
491	0.0	2.1020194084327256e-48
492	0.0	5.75208120394534e-49
493	0.0	1.5592906514728383e-49
494	0.0	4.185760387226907e-50
495	0.0	1.1125939517677698e-50
496	0.0	2.9287668413146276e-51
497	0.0	7.63475945671552e-52
498	0.0	1.9712583348646704e-52
499	0.0	5.036410381943829e-53
500	0.0	1.2742877524164412e-53
501	0.0	3.191695021499858e-54
502	0.0	7.915966066539295e-55
503	0.0	1.9431376738822927e-55
504	0.0	4.720052945892082e-56
505	0.0	1.1352310838585839e-56
506	0.0	2.700989487357369e-57
507	0.0	6.362299547262933e-58
508	0.0	1.4833648668204186e-58
509	0.0	3.419472375457117e-59
510	0.0	7.802077389560665e-60
511	0.0	1.7617594105459568e-60
512	0.0	3.9326744383855075e-61
513	0.0	8.687878210505562e-62
514	0.0	1.8981446163104883e-62
515	0.0	4.1028044373288927e-63
516	0.0	8.766616061256218e-64
517	0.0	1.8531515587386842e-64
518	0.0	3.872215017273396e-65
519	0.0	8.000328049486428e-66
520	0.0	1.6338104030761388e-66
521	0.0	3.2999595662820114e-67
522	0.0	6.5872648351219545e-68
523	0.0	1.2994557439956692e-68
524	0.0	2.5336715545122224e-69
525	0.0	4.881746746540753e-70
526	0.0	9.293878454675798e-71
527	0.0	1.7476990800547684e-71
528	0.0	3.2479363434646136e-72
529	0.0	5.961580128264052e-73
530	0.0	1.0808176048576832e-73
531	0.0	1.934701475587579e-74
532	0.0	3.4208784085062353e-75
533	0.0	5.972828392657004e-76
534	0.0	1.0292161919550204e-76
535	0.0	1.750511146153006e-77
536	0.0	2.940015105707579e-78
537	0.0	4.8719045151969205e-79
538	0.0	7.967989289356694e-80
539	0.0	1.2855360168093923e-80
540	0.0	2.0457780864679707e-81
541	0.0	3.212785517236642e-82
542	0.0	4.974544927782599e-83
543	0.0	7.595390531340192e-84
544	0.0	1.1435266788483854e-84
545	0.0	1.6970818902864887e-85
546	0.0	2.4830543647439425e-86
547	0.0	3.579760143056669e-87
548	0.0	5.085621538662989e-88
549	0.0	7.117339294639771e-89
550	0.0	9.812704649800665e-90
551	0.0	1.332216314040139e-90
552	0.0	1.7814438732336211e-91
553	0.0	2.3438570928811737e-92
554	0.0	3.037031386096781e-93
555	0.0	3.8722150172733967e-94
556	0.0	4.8578441847057304e-95
557	0.0	5.995324921442905e-96
558	0.0	7.276221029190205e-97
559	0.0	8.683660111358205e-98
560	0.0	1.0188115473915408e-98
561	0.0	1.1748812158437363e-99
562	0.0	1.3312320909057558e-100
563	0.0	1.4819588337712997e-101
564	0.0	1.61975007258495e-102
565	0.0	1.737856848710936e-103
566	0.0	1.832061063001901e-104
567	0.0	1.893926517163132e-105
568	0.0	1.9206411450963903e-106
569	0.0	1.9093928807034392e-107
570	0.0	1.8629937900825165e-108
571	0.0	1.7800378401845024e-109
572	0.0	1.666149163205873e-110
573	0.0	1.5283579243922228e-111
574	0.0	1.372428859244939e-112
575	0.0	1.2059545462292636e-113
576	0.0	1.0366681671153504e-114
577	0.0	8.714592838438821e-116
578	0.0	7.159520286113338e-117
579	0.0	5.747863104797982e-118
580	0.0	4.506335922426011e-119
581	0.0	3.447593036439494e-120
582	0.0	2.57444651293667e-121
583	0.0	1.8728360214263486e-122
584	0.0	1.3288418347222538e-123
585	0.0	9.179989777697169e-125
586	0.0	6.172485085631885e-126
587	0.0	4.036720884020305e-127
588	0.0	2.5660103146419566e-128
589	0.0	1.584599246356978e-129
590	0.0	9.497753246798037e-131
591	0.0	5.5200857508407235e-132
592	0.0	3.108739071601844e-133
593	0.0	1.6942698241882506e-134
594	0.0	8.932527961052247e-136
595	0.0	4.549922946948697e-137
596	0.0	2.23559254809902e-138
597	0.0	1.0593052992061643e-139
598	0.0	4.831129556772472e-141
599	0.0	2.1188918050221526e-142
600	0.0	8.914249531413701e-144
601	0.0	3.595226506596977e-145
602	0.0	1.387614016175423e-146
603	0.0	5.1137421996453676e-148
604	0.0	1.79550420372481e-149
605	0.0	5.995324921442906e-151
606	0.0	1.8981446163104883e-152
607	0.0	5.685997650636752e-154
608	0.0	1.6056897420937613e-155
609	0.0	4.260280138830208e-157
610	0.0	1.0578992661570456e-158
611	0.0	2.447903538515971e-160
612	0.0	5.251533438459018e-162
613	0.0	1.0380742001644693e-163
614	0.0	1.878460153622824e-165
615	0.0	3.0834304767177047e-167
616	0.0	4.5499229469486966e-169
617	0.0	5.957362029116696e-171
618	0.0	6.813636156030094e-173
619	0.0	6.66881475197085e-175
620	0.0	5.430099635697116e-177
621	0.0	3.5319550193866276e-179
622	0.0	1.7195784190723908e-181
623	0.0	5.57492103975636e-184
624	0.0	9.021108043146737e-187
