w	SternBabai_exp	SternBabai_pred
278	0.0033108474116954633	0.0033403872422820835
279	0.004197145040053142	0.004175484052852604
280	0.00521112961486913	0.0051799361606716925
281	0.006303228556930202	0.006374182998165899
282	0.007749846550334344	0.007780123957220815
283	0.00936921747129973	0.00941965842972203
284	0.011201900702818996	0.011308845969718977
285	0.013404124979382313	0.013463746131261091
286	0.015803137373428436	0.01588435891434837
287	0.018522118233305383	0.01858528391357121
288	0.02148145099239797	0.021549001615421136
289	0.024591003688500333	0.02474631283071736
290	0.028091128220828116	0.028148018370279096
291	0.03163631873425883	0.031681120261154376
292	0.0353467511784003	0.03530181971957202
293	0.03875674374852221	0.03892251917798967
294	0.042362022236756836	0.04241182228509376
295	0.04550161892026115	0.04566753187875156
296	0.04846095167935374	0.04854365201305913
297	0.050894514658912114	0.0509233859312933
298	0.052622043934524534	0.052660737687550155
299	0.0537186494746959	0.05360971133592575
300	0.05374869346209786	0.05366810971428732
301	0.05286239583374018	0.05274833525509252
302	0.050864470671510155	0.050806589174570156
303	0.04789011591871659	0.04785747106731062
304	0.044044485531266324	0.0439593793116755
305	0.03922242555325252	0.039243710258978326
306	0.03400979373901329	0.03392945782807501
307	0.0283014361326418	0.028250215532411853
308	0.022713254475878134	0.02251257485838712
309	0.01714009481281544	0.017037726886989474
310	0.012260951258737917	0.012095764118141198
311	0.008048784224983799	0.007946559335551303
312	0.004786007193131464	0.004727348728369487
313	0.0025131795461735525	0.002471711364153657
314	0.0010957042205493063	0.0010828519307695024
315	0.0003738974232173325	0.00036878575935334545
316	9.103328182792426e-05	8.526163240789935e-05
317	8.712756346567009e-06	9.831366997171134e-06
