w	LBB_exp	LBB_pred
251	2.3994253856086546e-08	4.2543532889122415e-08
252	2.3994253856086546e-08	6.699466656877032e-08
253	7.198276156825963e-08	1.0476314979915875e-07
254	1.199712692804327e-07	1.6273561198760757e-07
255	2.63936792416952e-07	2.509900473887313e-07
256	4.0790231555347126e-07	3.844034951402939e-07
257	6.478448541143367e-07	5.850035712559529e-07
258	8.158046311069425e-07	8.83744115232024e-07
259	1.2237069466604138e-06	1.32621605345843e-06
260	2.111494339335616e-06	1.976006730636904e-06
261	3.1912357628595105e-06	2.9250178562797647e-06
262	4.007040393966453e-06	4.2975446928605896e-06
263	6.4784485411433666e-06	6.272351662276706e-06
264	8.68591989590333e-06	9.089391008685601e-06
265	1.3916667236530196e-05	1.3082196351466183e-05
266	1.957931114656662e-05	1.8697078864751376e-05
267	2.6705604541824325e-05	2.6538718203818045e-05
268	3.786293258490457e-05	3.7408554864152195e-05
269	5.381911139920212e-05	5.233358445074788e-05
270	7.171882477584268e-05	7.275352042855001e-05
271	9.943218797962264e-05	0.0001003960189554925
272	0.00014079828162751585	0.0001375646215754872
273	0.00018674727776192158	0.00018713875521842398
274	0.00025169972295034784	0.00025290966534199114
275	0.00033783909429369854	0.0003390525209945289
276	0.00044989225980162273	0.00045159012350439023
277	0.0005957773232466289	0.0005970011834638272
278	0.0007858118137868343	0.000783684029418352
279	0.001014477053035339	0.0010209967988901066
280	0.001319444019546199	0.0013206971518428077
281	0.0017007127133194142	0.0016957425094609594
282	0.002161882272433398	0.0021610099108823264
283	0.0027257472380514316	0.002733056060953775
284	0.003443175428348419	0.0034313170914520618
285	0.004280574887925839	0.004275948990886415
286	0.00527873584833904	0.00528374841634786
287	0.0064952445188426276	0.00648111011469372
288	0.007882112391724429	0.007887230265456593
289	0.009508922803167098	0.009518905525727503
290	0.011368477477013805	0.011392932552597474
291	0.013556753428688898	0.013526108003157533
292	0.015876997776572466	0.015918431877407678
293	0.0185475582307549	0.01857230369778948
294	0.021491653178896716	0.021473326329653496
295	0.024618104456344794	0.0245951050261424
296	0.027905317234628652	0.02790644599551572
297	0.031336495536049024	0.03136175831138353
298	0.03488764510674983	0.03486506107608284
299	0.038342817662026296	0.03836836384078215
300	0.04177399596344667	0.04172769525898696
301	0.04486925471088184	0.04487106965745004
302	0.047652588158187875	0.047654515689676887
303	0.04990804802066001	0.04993406200917301
304	0.05163563429829825	0.05158973249385967
305	0.052547415944829534	0.05250155102165812
306	0.052571410198685616	0.052573536694905366
307	0.051755605567578675	0.05173370384035416
308	0.04986005951294784	0.04993406200917301
309	0.04719669733492223	0.04717461120136191
310	0.043525576494940994	0.043551332314583864
311	0.03911063378542107	0.03916020624650185
312	0.03416781749106724	0.03416919956802612
313	0.028913075896584286	0.028866254972145667
314	0.023459181995095814	0.023460130911277487
315	0.018233233505240164	0.01825076769061845
316	0.013508764920976725	0.013492514688975485
317	0.009391350959272274	0.009391730836324035
318	0.006080143927132331	0.006087588434275441
319	0.003632730033811503	0.0036208793643364764
320	0.0019334569757234537	0.001939054085036651
321	0.0009134612443012147	0.0009120584800426074
322	0.0003666321989210024	0.000364247506631065
323	0.00011704397030999016	0.00011769657575924729
324	2.910502992743298e-05	2.862630272798818e-05
325	4.270977186383405e-06	4.6166811775900465e-06
326	2.63936792416952e-07	3.671269335609549e-07
