w	WagnerBabai_exp	WagnerBabai_pred
278	0.005158446802747889	0.005322822662093106
279	0.006685051584468028	0.0065575430009229
280	0.008457882943884963	0.008012593294208187
281	0.009221185334745032	0.00970978838892476
282	0.011203309285204245	0.011670943132048408
283	0.014133405559796124	0.013896057523579133
284	0.0157338783148253	0.016415672349283043
285	0.01945189963804693	0.019207972762184344
286	0.022111146677172334	0.02226205133879514
287	0.025915347302587842	0.02556700065562754
288	0.028328367764016447	0.02907919101872996
289	0.03232954965158939	0.03272227046368713
290	0.03533351389949031	0.03645260929654746
291	0.03875606332947578	0.040139318435456206
292	0.04388988747445399	0.04369513849251021
293	0.04830965454411149	0.046989180385854715
294	0.05045182577007362	0.049868740186659176
295	0.05343116736020486	0.05220292881306886
296	0.053960554502252976	0.05382813491276532
297	0.053209563440277746	0.05461346940389381
298	0.05397286583113781	0.05444985805157538
299	0.053738950582325855	0.05325004146790685
300	0.050328712481225224	0.05095948253544875
301	0.04759559746879078	0.04762181094815266
302	0.04473936916750794	0.043302471246945966
303	0.037955826951961195	0.038154167360659186
304	0.03252653091374683	0.03242777002951394
305	0.026444734444635954	0.026395964840707616
306	0.021249353655233547	0.02040778934585287
307	0.015524585723783025	0.014801373673074476
308	0.010415384236574496	0.009891942361172619
309	0.00572476793145052	0.005939092089159213
310	0.0031393888656341567	0.0030693489694938523
311	0.0014650481372959396	0.001268533351642271
312	0.0005540097998177923	0.0003639807217910798
313	0.0	5.2671948023048374e-05
